rank,artist,track,total_words,unique_words,unique_ratio
229,No Doubt,Don't Speak,304,50,0.16447368421052633
232,Soundgarden,Fresh Tendrils,189,24,0.12698412698412698
233,The Black Keys,Lo/Hi,180,35,0.19444444444444445
234,The Cult,She Sells Sanctuary,263,19,0.07224334600760456
235,UNKLE,Chemical Feat Josh Homme,79,19,0.24050632911392406
237,Van Halen,On Fire,131,33,0.25190839694656486
238,Aerosmith,Train Kept a Rollin',333,42,0.12612612612612611
239,Black Rebel Motorcycle Club,Shuffle Your Feet,160,33,0.20625
240,Death from Above 1979,Free Animal,126,29,0.23015873015873015
241,Deee-Lite,Groove Is in the Heart,385,118,0.3064935064935065
243,Holy Barbarians,Brother Fights,115,46,0.4
244,Jack White,I'm Shakin',313,86,0.2747603833865815
245,Led Zeppelin,Kashmir,325,96,0.2953846153846154
247,No Doubt,Hey Baby,510,93,0.18235294117647058
249,Radiohead,Knives Out,108,33,0.3055555555555556
250,The Cult,Edie (Ciao Baby),174,51,0.29310344827586204
251,The Dead Weather,I Can't Hear You,187,32,0.1711229946524064
253,The Police,Roxanne,285,40,0.14035087719298245
254,Tom Morello,Where It’s At Ain’t What It Is (feat. Gary Clark Jr. and Nico Stadi),426,5,0.011737089201877934
255,UNKLE,Burn My Shadow (Featuring Ian Astbury),172,29,0.1686046511627907
256,UNKLE,Ghosts,307,36,0.11726384364820847
257,Zero 7,Destiny,238,55,0.23109243697478993
258,Beastie Boys,Body Movin',454,138,0.3039647577092511
259,Built to Spill,Mess With Time,69,27,0.391304347826087
260,Death Cult,A Flower in the Desert,197,51,0.25888324873096447
261,Josh Homme,All the Same,207,33,0.15942028985507245
262,Madonna,Sorry,515,59,0.1145631067961165
263,Primus,John the Fisherman,221,75,0.3393665158371041
265,Soundgarden,Like Suicide,215,47,0.2186046511627907
266,The Cult,American Horse,207,51,0.2463768115942029
267,Torre Florim,Firestarter,56,26,0.4642857142857143
268,Alice in Chains,Down in a Hole,271,54,0.1992619926199262
269,Beastie Boys,Sure Shot,623,187,0.3001605136436597
270,Beck,Qué Onda Guero,326,135,0.41411042944785276
271,Black Rebel Motorcycle Club,Spread Your Love,232,18,0.07758620689655173
272,Deftones,No Ordinary Love,285,25,0.08771929824561403
